AREA,BFIHOST,LDP,PROPWET,SAAR,Index flood
414.39,0.292,58.38,0.58,1058,98.094
832.97,0.472,63.01,0.48,1153,229.1175
1.74,0.603,2.74,0.54,1207,1.2245
86.01,0.338,22.11,0.71,2261,117.965
228.88,0.585,30.57,0.4,971,71.491
89.03,0.546,27.77,0.45,1211,11.053
162.76,0.52,22.45,0.43,724,30.382
94.89,0.944,20.47,0.35,872,3.421
1124.59,0.612,82.68,0.36,841,138.789
60.07,0.413,15.99,0.46,1020,24.7325
26.83,0.736,11.19,0.44,1294,3.9580002
759.03,0.386,107.44,0.43,1163,233.276
1745.88,0.484,102.35,0.69,1194,223.915
98.37,0.437,21.17,0.61,1296,37.486
88.18,0.298,22.94,0.59,1050,80.015
4.32,0.32,3.74,0.27,641,1.906
205.67,0.775,31.37,0.38,1010,15.948
8.69,0.323,5.73,0.66,2483,13.829
365.9,0.61,54.57,0.37,877,44.366
57.5,0.419,19.06,0.5,1164,30.935
23.33,0.669,11.77,0.35,906,3.361
78.1,0.505,25.04,0.31,619,6.582
885.11,0.588,90.17,0.35,813,45.1455
135.29,0.549,35.22,0.48,1423,48.737
27.58,0.387,9.26,0.27,588,6.759
100.33,0.404,27.2,0.61,1270,63.715004
401.59,0.411,41.13,0.75,1431,101.336
608.13,0.526,77.1,0.46,1249,169.462
664.23,0.425,74.99,0.49,1185,230.045
1008.94,0.452,70.89,0.71,1316,145.5
65.59,0.513,20.68,0.71,1599,53.748
20.17,0.811,10.07,0.38,1012,0.406
44.59,0.376,19.89,0.52,987,16.005
27.18,0.386,9.88,0.66,2341,50.404
212.19,0.514,33.58,0.71,1726,148.543
263.01,0.376,42.97,0.59,1264,163.293
155.39,0.518,37.34,0.41,774,40.298
687.29,0.565,58.42,0.41,1114,117.477
60.24,0.568,17.39,0.29,686,7.3114996
42.1,0.632,14.72,0.32,715,9.52
167.21,0.327,38.71,0.67,1292,100.777
34.76,0.584,15.03,0.53,1055,9.523
235.9,0.537,46.2,0.25,566,12.016
126.98,0.402,17.94,0.28,577,12.4
2645.6,0.484,146.99,0.65,1133,420.9705
149.89,0.414,36.33,0.5,1019,49.783
66.84,0.409,23.39,0.68,1492,83.631
43.99,0.367,13.07,0.71,2629,20.046
1894.26,0.472,157.79,0.5,1230,387.97552
414.4,0.778,54.9,0.37,968,21.9
105.29,0.491,27.17,0.4,1040,57.872
77.57,0.865,34.38,0.33,736,3.4775
288.53,0.498,39.74,0.39,994,104.8665
335.39,0.504,38.11,0.62,1558,195.072
474.08,0.338,56.85,0.73,1383,140.62851
101.64,0.471,17.71,0.53,1261,64.99451
697.46,0.459,62.86,0.68,1231,300.532
387.74,0.48,40.11,0.31,655,21.8
30.36,0.565,11.52,0.35,884,13.505
121.64,0.45,29.19,0.49,1199,63.4845
95.57,0.305,18.51,0.56,993,63.975
574.66,0.449,61.86,0.52,1256,191.494
85.83,0.838,18.26,0.32,759,3.616
517.56,0.484,76.12,0.54,1392,135.8425
74.34,0.941,21.67,0.34,885,1.314
147.47,0.803,41.66,0.26,683,3.679
6.52,0.397,4.69,0.83,2555,6.25
36.97,0.301,16.5,0.44,1085,26.395
248.21,0.635,34.68,0.31,637,10.450001
634.78,0.504,77.29,0.46,827,82.895004
363.76,0.532,52.95,0.51,1086,85.687
57.67,0.553,21,0.35,1101,13.053
128.42,0.613,21.41,0.24,558,5.156
158.22,0.419,26.5,0.62,1285,66.094
19.39,0.439,12.51,0.56,1477,10.7745
1459.55,0.894,95.25,0.34,807,46.46
847.7,0.354,85.6,0.54,1122,375.695
27.75,0.633,10.61,0.35,1009,10.268
183.49,0.46,29.02,0.58,1143,52.66
216.48,0.553,38.77,0.46,1420,61.3665
105.31,0.352,14.3,0.85,2456,198.528
102.89,0.449,22.39,0.63,1001,31.67
313.59,0.421,46.35,0.58,1156,106.918
964.93,0.395,76.19,0.57,1008,118.6595
109.57,0.354,21.45,0.29,668,13.349501
219.21,0.438,35.65,0.71,1670,266.95398
138.63,0.379,29.9,0.75,2470,80.978
382.69,0.39,48.1,0.35,805,76.128
48.51,0.642,15.65,0.44,1076,4.386
397.92,0.362,49.02,0.74,2117,309.038
81.6,0.615,27.08,0.41,968,8.4805
355.07,0.583,40.55,0.41,956,150.8005
9.85,0.578,4.66,0.42,1270,4.262
52.85,0.388,21.42,0.31,599,11.084
578.21,0.393,82.28,0.44,850,139.673
199.42,0.757,41.8,0.29,667,16.6035
33.76,0.437,13.3,0.37,831,6.109
272.2,0.498,44.15,0.68,1012,94.4505
510.9,0.386,60.56,0.63,1338,238.2135
117.12,0.372,27.82,0.59,1530,90.532
152.4,0.678,26.72,0.52,1165,16.5275
236.84,0.436,31.8,0.81,1785,190.699
155.76,0.357,28.83,0.63,1512,70.779
196.18,0.611,37.33,0.28,589,5.073
1012.97,0.31,66.25,0.5,1023,367.601
417.01,0.403,55.23,0.28,634,38.588
559.72,0.689,79.18,0.3,672,18.561
50.04,0.931,12.76,0.35,968,2.8575
183,0.498,31.76,0.61,1202,85.8535
185.66,0.403,30.64,0.62,1305,72.44
43.43,0.377,15.9,0.62,1806,53.942
319.94,0.441,37.07,0.6,1163,106.756
552.57,0.324,56.43,0.65,1117,169.057
118.05,0.656,28.03,0.37,1056,21.405
11.76,0.597,7.41,0.38,1030,1.234
20.38,0.539,12.14,0.54,1485,7.7565002
198.07,0.553,32.69,0.48,1555,111.322
125.92,0.553,28.39,0.49,962,26.7795
92.61,0.536,22.2,0.43,762,17.979
883.12,0.528,87.48,0.42,936,119.094
203.65,0.562,40.88,0.36,964,43.723
77.73,0.386,25.81,0.5,1181,16.774
194.15,0.381,44.61,0.34,726,43.54
1283.4,0.426,84.45,0.53,1386,529.327
89.42,0.451,23.5,0.53,2038,101.89
148.7,0.538,33.49,0.35,729,15.362
307.14,0.489,43.22,0.43,713,57.803
140.38,0.493,40,0.31,579,13.836
938.48,0.452,85.17,0.61,1204,247.7385
133.52,0.551,37.06,0.49,906,36.8565
188.05,0.654,34.67,0.4,739,10.653
117.35,0.422,28.01,0.36,899,27.434
15.85,0.959,7.33,0.32,757,0.142
801.65,0.437,66.98,0.3,648,62.661
139.27,0.436,33.73,0.57,915,71.038
78.54,0.28,17.99,0.63,1156,53.15
32.34,0.345,10.6,0.71,2438,12.811
109.39,0.512,28.24,0.68,1244,69.8325
149.24,0.404,23.62,0.67,2150,59.096
322.97,0.27,35.83,0.64,1331,237.306
1149.07,0.442,89.04,0.7,1950,354.832
74.13,0.362,17.37,0.59,895,25.0555
55.72,0.82,13.54,0.29,698,3.084
455.1,0.338,50.31,0.59,1034,201.807
134.5,0.443,23,0.36,812,27.875
25.62,0.395,10.77,0.28,598,3.661
59.98,0.482,14.24,0.72,1344,26.132
16.05,0.888,8.95,0.36,819,0.459
148.28,0.508,32.6,0.39,818,19.550499
62.9,0.696,14.16,0.38,863,3.601
99.67,0.386,19.83,0.33,854,21.602001
173.41,0.3,23.41,0.59,1279,117.7115
1037.36,0.766,90.42,0.31,758,38.394
63.26,0.494,23.03,0.61,1299,36.5695
33.97,0.457,12.97,0.64,1428,34.576
263.74,0.563,40.53,0.36,965,57.007
326.55,0.903,48.34,0.34,744,11.106
1260.92,0.47,88.07,0.7,1277,165.854
50.13,0.656,14.39,0.27,641,5.8805
58.81,0.273,13.34,0.59,1199,64.633
31.84,0.393,9.94,0.71,2340,43.18
12.06,0.879,6.32,0.38,1030,0.861
502.73,0.443,54.52,0.67,1306,241.075
130.45,0.405,26.97,0.34,814,38.989502
345.2,0.322,48.82,0.47,941,134.5495
367.59,0.339,52.64,0.6,1228,200.4925
397.97,0.555,53.62,0.41,1022,87.253
445.22,0.366,61.92,0.62,1369,267.21
920.16,0.481,74.06,0.49,1215,263.276
377.16,0.507,42.63,0.66,1255,123.485504
407.17,0.453,42.2,0.66,1768,179.0455
1844.19,0.448,78.34,0.62,1288,574.8425
3211.11,0.437,117.3,0.69,1609,839.283
164.46,0.419,36.96,0.59,,114.109
291.9,0.4,28.76,0.69,1334,180.223
64.57,0.394,19.24,0.62,1723,60.718
708,0.476,79.98,0.29,632,37.004
258.42,0.399,42.19,0.49,1231,100.477
74.22,0.629,15.32,0.35,911,11.4345
219.24,0.454,39.75,0.65,1484,117.687
136.69,0.469,30.29,0.3,625,11.798
415.59,0.451,50.96,0.68,1217,248.084
749.9,0.298,60.11,0.6,1147,469.699
56.18,0.968,21.65,0.24,688,-999
120.54,0.568,30.76,0.53,975,20.461
84.62,0.532,25.06,0.37,715,9.631
283.47,0.385,38.62,0.62,1151,67.482
54.47,0.338,19.53,0.52,991,36.683
571.36,0.509,79.29,0.25,580,27.452
305.19,0.622,34.55,0.34,804,36.405
28.99,0.443,14.2,0.6,1183,15.934
170.94,0.365,33.33,0.53,995,48.522
48.51,0.906,17.72,0.24,686,1.129
25.26,0.499,12.54,0.45,1445,9.565
74.95,0.276,16.74,0.28,575,7.126
53.51,0.955,12.35,0.34,770,1.076
181.9,0.537,28.01,0.44,1437,81.849
92.96,0.321,29.76,0.35,812,29.826
2026.73,0.47,121.61,0.5,1147,285.066
111.18,0.352,21.23,0.55,1858,96.308
497.61,0.381,60.77,0.61,1123,335.6595
618.21,0.474,62.7,0.66,1142,248.095
182.4,0.567,29.92,0.53,955,31.6225
258.14,0.33,42.42,0.6,1602,225.574
202.93,0.427,34.67,0.45,758,61.86
304.96,0.587,58.04,0.5,942,95.83
184.74,0.477,24.81,0.62,1674,159.2635
102.42,0.479,18.95,0.33,837,15.227
21.87,0.302,16.21,0.45,1056,14.563499
132.96,0.468,26.36,0.31,588,12.919
209.94,0.555,33.98,0.45,1338,70.447
4586.97,0.473,130.42,0.58,1424,992.846
243.54,0.492,32.46,0.61,1205,59.699
204.71,0.388,33.39,0.35,857,36.558
98.48,0.428,22.53,0.59,1900,147.55551
1569.29,0.575,94.38,0.34,817,167.223
427.14,0.699,62.55,0.32,691,25.7
193.51,0.645,37.58,0.34,719,11.2225
240.98,0.476,35.19,0.51,1274,78.168
29.38,0.367,14.28,0.52,1079,22.4605
33.62,0.623,9.42,0.42,1161,5.3075
88.25,0.625,19.69,0.35,851,12.157
79.86,0.561,21.35,,949,19.489
205.45,0.531,42.61,0.44,930,51.535
72.12,0.598,25.54,0.31,649,2.971
156.2,0.406,30.8,0.69,1828,100.983
32.43,0.949,13.34,0.31,721,0.784
67.62,0.691,26.18,0.4,834,14.407
7.17,0.398,4.6,0.5,1150,7.627
141.9,0.572,35.42,0.36,887,36.146
63.71,0.485,19.83,0.63,1489,29.21
1092.13,0.478,90.61,0.59,1534,312.826
181.88,0.435,46.15,0.66,1756,109.671
