AREA,BFIHOST,LDP,PROPWET,RMED-1D,SAAR,Index flood,predicted,,m1,m2,m3,m4,m5,m6,b,,RMSE1,RMSE2,,pred avg,ssres,sstot1,R^2,,MSRE1,MSRE2
0.128112201,0.433161954,0.166909091,0.366666667,0.351810585,0.157991266,0.124369802,0.135054864,,,,,,,,,,0.000114171,,,,,0.001675822,,,0.006259414,
0.170754186,0.364267352,0.232198347,0.658730159,0.594707521,0.522707424,0.244174699,0.22372193,,,,,,,,,,0.000418316,,,,,0.002278177,,,0.008357706,
0.280702849,0.686118252,0.391603306,0.214285714,0.354038997,0.169868996,0.13082651,0.227047199,,,,,,,,,,0.009258421,,,,,0.002606667,,,0.179599293,
0.122475105,0.314910026,0.18185124,0.252380952,0.390807799,0.189432314,0.131306413,0.124249927,,,,,,,,,,4.9794E-05,,,,,0.002677208,,,0.003225409,
0.1071637,0.530848329,0.132330579,0.353968254,0.422005571,0.306113537,0.107075624,0.10675968,,,,,,,,,,9.98203E-08,,,,,0.004793069,,,8.75799E-06,
0.104527472,0.296401028,0.123305785,0.163492063,0.311699164,0.110480349,0.105332506,0.092725207,,,,,,,,,,0.000158944,,,,,0.006933304,,,0.018486235,
0.126826364,0.431105398,0.216132231,0.341269841,0.356267409,0.175458515,0.132360905,0.131381188,,,,,,,,,,9.59846E-07,,,,,0.001990095,,,5.56077E-05,
0.105216625,0.226478149,0.144264463,0.582539683,0.467688022,0.380524017,0.122459061,0.161201883,,,,,,,,,,0.001501006,,,,,0.000218738,,,0.057762008,
0.122660043,0.490745501,0.160363636,0.506349206,0.424233983,0.254061135,0.141820321,0.148572229,,,,,,,,,,4.55883E-05,,,,,0.000751826,,,0.002065274,
0.419562781,0.419794344,0.515008264,0.557142857,0.41643454,0.282358079,0.548278641,0.41496526,,,,,,,,,,0.017772458,,,,,0.057108375,,,0.10321053,
0.122204678,0.506169666,0.189950413,0.265079365,0.417548747,0.249868996,0.114916027,0.111952978,,,,,,,,,,8.77966E-06,,,,,0.004100954,,,0.000700497,
0.10564233,0.368380463,0.135570248,0.633333333,0.502228412,0.403930131,0.127749662,0.160659811,,,,,,,,,,0.001083078,,,,,0.000235066,,,0.041960939,
0.112134324,0.315938303,0.132727273,0.455555556,0.432033426,0.321484716,0.151187867,0.141243746,,,,,,,,,,9.88855E-05,,,,,0.001207418,,,0.004956719,
0.181518928,0.295372751,0.286975207,0.684126984,0.503342618,0.423842795,0.370858971,0.239675279,,,,,,,,,,0.017209161,,,,,0.004055602,,,0.299580276,
0.133942957,0.526735219,0.216099174,0.176190476,0.301671309,0.110829694,0.103973793,0.104451181,,,,,,,,,,2.279E-07,,,,,0.005118042,,,2.0889E-05,
0.113606843,0.288174807,0.140231405,0.811111111,0.700557103,0.9,0.248115853,0.192190538,,,,,,,,,,0.003127641,,,,,0.000262403,,,0.084674547,
0.121262545,0.680976864,0.179371901,0.163492063,0.351810585,0.130742358,0.105165689,0.083555154,,,,,,,,,,0.000467015,,,,,0.00854451,,,0.066893593,
0.133105506,0.387917738,0.192066116,0.582539683,0.1,0.319039301,0.154205886,0.144417508,,,,,,,,,,9.58123E-05,,,,,0.000996928,,,0.004593902,
0.143072924,0.329305913,0.244528926,0.607936508,0.456545961,0.328820961,0.213101186,0.193550569,,,,,,,,,,0.000382227,,,,,0.000308315,,,0.010203097,
0.101107879,0.694344473,0.113256198,0.328571429,0.335097493,0.157292576,0.100940462,0.085535425,,,,,,,,,,0.000237315,,,,,0.008182333,,,0.032436458,
0.120315178,0.223393316,0.168727273,0.56984127,0.446518106,0.234497817,0.138898201,0.178186498,,,,,,,,,,0.00154357,,,,,4.81726E-06,,,0.048615731,
0.232142873,0.295372751,0.447867769,0.366666667,0.440947075,0.311353712,0.287877958,0.239482234,,,,,,,,,,0.002342146,,,,,0.004031051,,,0.040838274,
0.133477125,0.561696658,0.21692562,0.252380952,0.309470752,0.156244541,0.10892955,0.111289916,,,,,,,,,,5.57133E-06,,,,,0.004186317,,,0.000449828,
